Epoch 1/100, Train Loss: 1437.4432, Train Accuracy: 69.7755, Train AUC-ROC: 0.7939, Train F1 Score: 0.6293 , Train Precision: 0.8195, Train Recall: 0.5108
Epoch 2/100, Train Loss: 1053.8320, Train Accuracy: 81.8111, Train AUC-ROC: 0.9017, Train F1 Score: 0.8037 , Train Precision: 0.8777, Train Recall: 0.7411
Epoch 3/100, Train Loss: 964.5480, Train Accuracy: 83.7074, Train AUC-ROC: 0.9167, Train F1 Score: 0.8267 , Train Precision: 0.8877, Train Recall: 0.7735
Epoch 4/100, Train Loss: 898.8479, Train Accuracy: 85.1006, Train AUC-ROC: 0.9277, Train F1 Score: 0.8419 , Train Precision: 0.9015, Train Recall: 0.7897
Epoch 5/100, Train Loss: 840.9923, Train Accuracy: 86.4551, Train AUC-ROC: 0.9363, Train F1 Score: 0.8585 , Train Precision: 0.9031, Train Recall: 0.8182
Epoch 6/100, Train Loss: 796.3705, Train Accuracy: 86.9582, Train AUC-ROC: 0.9430, Train F1 Score: 0.8632 , Train Precision: 0.9124, Train Recall: 0.8190
Epoch 7/100, Train Loss: 759.7681, Train Accuracy: 87.1517, Train AUC-ROC: 0.9481, Train F1 Score: 0.8660 , Train Precision: 0.9093, Train Recall: 0.8267
Epoch 8/100, Train Loss: 716.1597, Train Accuracy: 88.4288, Train AUC-ROC: 0.9541, Train F1 Score: 0.8800 , Train Precision: 0.9187, Train Recall: 0.8444
Epoch 9/100, Train Loss: 683.7280, Train Accuracy: 88.8932, Train AUC-ROC: 0.9579, Train F1 Score: 0.8855 , Train Precision: 0.9181, Train Recall: 0.8552
Epoch 10/100, Train Loss: 650.3547, Train Accuracy: 89.5898, Train AUC-ROC: 0.9617, Train F1 Score: 0.8926 , Train Precision: 0.9263, Train Recall: 0.8613
Epoch 11/100, Train Loss: 611.5658, Train Accuracy: 90.4025, Train AUC-ROC: 0.9658, Train F1 Score: 0.9013 , Train Precision: 0.9325, Train Recall: 0.8721
Epoch 12/100, Train Loss: 616.6250, Train Accuracy: 90.2864, Train AUC-ROC: 0.9650, Train F1 Score: 0.9007 , Train Precision: 0.9260, Train Recall: 0.8767
Epoch 13/100, Train Loss: 562.0201, Train Accuracy: 91.2152, Train AUC-ROC: 0.9708, Train F1 Score: 0.9102 , Train Precision: 0.9350, Train Recall: 0.8867
Epoch 14/100, Train Loss: 531.0842, Train Accuracy: 91.7570, Train AUC-ROC: 0.9740, Train F1 Score: 0.9158 , Train Precision: 0.9400, Train Recall: 0.8929
Epoch 15/100, Train Loss: 507.6483, Train Accuracy: 92.2601, Train AUC-ROC: 0.9762, Train F1 Score: 0.9210 , Train Precision: 0.9449, Train Recall: 0.8983
Epoch 16/100, Train Loss: 466.1260, Train Accuracy: 93.2276, Train AUC-ROC: 0.9795, Train F1 Score: 0.9310 , Train Precision: 0.9532, Train Recall: 0.9099
Epoch 17/100, Train Loss: 447.7692, Train Accuracy: 93.4211, Train AUC-ROC: 0.9806, Train F1 Score: 0.9333 , Train Precision: 0.9512, Train Recall: 0.9160
Epoch 18/100, Train Loss: 437.8305, Train Accuracy: 93.2276, Train AUC-ROC: 0.9819, Train F1 Score: 0.9311 , Train Precision: 0.9525, Train Recall: 0.9106
Epoch 19/100, Train Loss: 418.9339, Train Accuracy: 93.9241, Train AUC-ROC: 0.9832, Train F1 Score: 0.9386 , Train Precision: 0.9539, Train Recall: 0.9237
Epoch 20/100, Train Loss: 400.1803, Train Accuracy: 94.1563, Train AUC-ROC: 0.9844, Train F1 Score: 0.9409 , Train Precision: 0.9562, Train Recall: 0.9260
Epoch 21/100, Train Loss: 376.0525, Train Accuracy: 94.7368, Train AUC-ROC: 0.9862, Train F1 Score: 0.9468 , Train Precision: 0.9626, Train Recall: 0.9314
Epoch 22/100, Train Loss: 359.4534, Train Accuracy: 94.8916, Train AUC-ROC: 0.9869, Train F1 Score: 0.9486 , Train Precision: 0.9598, Train Recall: 0.9376
Epoch 23/100, Train Loss: 318.0621, Train Accuracy: 95.1625, Train AUC-ROC: 0.9899, Train F1 Score: 0.9512 , Train Precision: 0.9636, Train Recall: 0.9391
Epoch 24/100, Train Loss: 343.4244, Train Accuracy: 94.7755, Train AUC-ROC: 0.9879, Train F1 Score: 0.9472 , Train Precision: 0.9611, Train Recall: 0.9337
Epoch 25/100, Train Loss: 313.1353, Train Accuracy: 95.7430, Train AUC-ROC: 0.9903, Train F1 Score: 0.9571 , Train Precision: 0.9692, Train Recall: 0.9453
Epoch 26/100, Train Loss: 326.8386, Train Accuracy: 95.7817, Train AUC-ROC: 0.9890, Train F1 Score: 0.9577 , Train Precision: 0.9641, Train Recall: 0.9515
Epoch 27/100, Train Loss: 294.2224, Train Accuracy: 95.8204, Train AUC-ROC: 0.9909, Train F1 Score: 0.9579 , Train Precision: 0.9700, Train Recall: 0.9461
Epoch 28/100, Train Loss: 287.6672, Train Accuracy: 96.0913, Train AUC-ROC: 0.9916, Train F1 Score: 0.9606 , Train Precision: 0.9724, Train Recall: 0.9492
Epoch 29/100, Train Loss: 282.7317, Train Accuracy: 96.0913, Train AUC-ROC: 0.9917, Train F1 Score: 0.9606 , Train Precision: 0.9731, Train Recall: 0.9484
Epoch 30/100, Train Loss: 255.9568, Train Accuracy: 96.4783, Train AUC-ROC: 0.9931, Train F1 Score: 0.9646 , Train Precision: 0.9741, Train Recall: 0.9553
Epoch 31/100, Train Loss: 256.7985, Train Accuracy: 96.4396, Train AUC-ROC: 0.9929, Train F1 Score: 0.9642 , Train Precision: 0.9748, Train Recall: 0.9538
Epoch 32/100, Train Loss: 234.3721, Train Accuracy: 96.7879, Train AUC-ROC: 0.9934, Train F1 Score: 0.9678 , Train Precision: 0.9757, Train Recall: 0.9599
Epoch 33/100, Train Loss: 240.9646, Train Accuracy: 96.9040, Train AUC-ROC: 0.9939, Train F1 Score: 0.9689 , Train Precision: 0.9765, Train Recall: 0.9615
Epoch 34/100, Train Loss: 235.0821, Train Accuracy: 96.9427, Train AUC-ROC: 0.9938, Train F1 Score: 0.9693 , Train Precision: 0.9773, Train Recall: 0.9615
Epoch 35/100, Train Loss: 257.7555, Train Accuracy: 96.7105, Train AUC-ROC: 0.9927, Train F1 Score: 0.9671 , Train Precision: 0.9727, Train Recall: 0.9615
Epoch 36/100, Train Loss: 224.7754, Train Accuracy: 97.0975, Train AUC-ROC: 0.9944, Train F1 Score: 0.9709 , Train Precision: 0.9781, Train Recall: 0.9638
Epoch 37/100, Train Loss: 203.9687, Train Accuracy: 97.3684, Train AUC-ROC: 0.9955, Train F1 Score: 0.9736 , Train Precision: 0.9797, Train Recall: 0.9676
