Epoch 50/100, Train Loss: 437.6717, Train Accuracy: 93.7307, Train AUC-ROC: 0.9818, Train F1 Score: 0.9375
Epoch 51/100, Train Loss: 436.3254, Train Accuracy: 93.8854, Train AUC-ROC: 0.9809, Train F1 Score: 0.9390
Epoch 52/100, Train Loss: 433.3513, Train Accuracy: 94.0402, Train AUC-ROC: 0.9808, Train F1 Score: 0.9407
Epoch 53/100, Train Loss: 439.9008, Train Accuracy: 93.5372, Train AUC-ROC: 0.9806, Train F1 Score: 0.9353
Epoch 54/100, Train Loss: 426.3158, Train Accuracy: 93.5372, Train AUC-ROC: 0.9818, Train F1 Score: 0.9353
Epoch 55/100, Train Loss: 441.0277, Train Accuracy: 93.8854, Train AUC-ROC: 0.9804, Train F1 Score: 0.9390
Epoch 56/100, Train Loss: 439.1878, Train Accuracy: 93.6920, Train AUC-ROC: 0.9810, Train F1 Score: 0.9368
Epoch 57/100, Train Loss: 422.9234, Train Accuracy: 93.5372, Train AUC-ROC: 0.9819, Train F1 Score: 0.9355
Epoch 58/100, Train Loss: 440.5281, Train Accuracy: 94.1563, Train AUC-ROC: 0.9802, Train F1 Score: 0.9418
Epoch 59/100, Train Loss: 415.4616, Train Accuracy: 93.6533, Train AUC-ROC: 0.9828, Train F1 Score: 0.9367
Epoch 60/100, Train Loss: 419.9432, Train Accuracy: 93.4598, Train AUC-ROC: 0.9819, Train F1 Score: 0.9348
Epoch 61/100, Train Loss: 421.1538, Train Accuracy: 93.4211, Train AUC-ROC: 0.9827, Train F1 Score: 0.9344
Epoch 62/100, Train Loss: 408.2149, Train Accuracy: 93.9241, Train AUC-ROC: 0.9833, Train F1 Score: 0.9394
Epoch 63/100, Train Loss: 410.3253, Train Accuracy: 94.1563, Train AUC-ROC: 0.9829, Train F1 Score: 0.9418
Epoch 64/100, Train Loss: 391.4884, Train Accuracy: 94.5046, Train AUC-ROC: 0.9842, Train F1 Score: 0.9455
Epoch 65/100, Train Loss: 403.2489, Train Accuracy: 94.1176, Train AUC-ROC: 0.9827, Train F1 Score: 0.9415
Epoch 66/100, Train Loss: 408.0012, Train Accuracy: 93.7307, Train AUC-ROC: 0.9833, Train F1 Score: 0.9375
Epoch 67/100, Train Loss: 398.1206, Train Accuracy: 93.8854, Train AUC-ROC: 0.9838, Train F1 Score: 0.9390
Epoch 68/100, Train Loss: 415.1686, Train Accuracy: 93.9241, Train AUC-ROC: 0.9829, Train F1 Score: 0.9394
Epoch 69/100, Train Loss: 369.0391, Train Accuracy: 94.6594, Train AUC-ROC: 0.9863, Train F1 Score: 0.9466
Epoch 70/100, Train Loss: 431.9109, Train Accuracy: 93.6146, Train AUC-ROC: 0.9812, Train F1 Score: 0.9365
Epoch 71/100, Train Loss: 394.6572, Train Accuracy: 93.8854, Train AUC-ROC: 0.9844, Train F1 Score: 0.9394
Epoch 72/100, Train Loss: 378.2739, Train Accuracy: 94.8142, Train AUC-ROC: 0.9853, Train F1 Score: 0.9484
Epoch 73/100, Train Loss: 401.9358, Train Accuracy: 94.7755, Train AUC-ROC: 0.9831, Train F1 Score: 0.9478
Epoch 74/100, Train Loss: 399.0990, Train Accuracy: 94.1950, Train AUC-ROC: 0.9837, Train F1 Score: 0.9423
Epoch 75/100, Train Loss: 382.9757, Train Accuracy: 94.3498, Train AUC-ROC: 0.9850, Train F1 Score: 0.9434
Epoch 76/100, Train Loss: 377.3773, Train Accuracy: 94.1176, Train AUC-ROC: 0.9852, Train F1 Score: 0.9414
Epoch 77/100, Train Loss: 378.1500, Train Accuracy: 94.5820, Train AUC-ROC: 0.9858, Train F1 Score: 0.9461
Epoch 78/100, Train Loss: 369.4999, Train Accuracy: 94.3498, Train AUC-ROC: 0.9862, Train F1 Score: 0.9438
Epoch 79/100, Train Loss: 344.9184, Train Accuracy: 95.0077, Train AUC-ROC: 0.9868, Train F1 Score: 0.9504
Epoch 80/100, Train Loss: 396.1724, Train Accuracy: 93.7307, Train AUC-ROC: 0.9839, Train F1 Score: 0.9376
Epoch 81/100, Train Loss: 333.8359, Train Accuracy: 95.4334, Train AUC-ROC: 0.9881, Train F1 Score: 0.9545
Epoch 82/100, Train Loss: 363.1905, Train Accuracy: 94.8916, Train AUC-ROC: 0.9854, Train F1 Score: 0.9492
Epoch 83/100, Train Loss: 343.1282, Train Accuracy: 95.1625, Train AUC-ROC: 0.9879, Train F1 Score: 0.9516
Epoch 84/100, Train Loss: 333.8700, Train Accuracy: 95.0851, Train AUC-ROC: 0.9887, Train F1 Score: 0.9510
Epoch 85/100, Train Loss: 328.4902, Train Accuracy: 95.2012, Train AUC-ROC: 0.9891, Train F1 Score: 0.9522
Epoch 86/100, Train Loss: 333.0723, Train Accuracy: 95.1238, Train AUC-ROC: 0.9887, Train F1 Score: 0.9513
Epoch 87/100, Train Loss: 300.8386, Train Accuracy: 95.7817, Train AUC-ROC: 0.9902, Train F1 Score: 0.9581
Epoch 88/100, Train Loss: 325.6939, Train Accuracy: 95.5495, Train AUC-ROC: 0.9889, Train F1 Score: 0.9557
Epoch 89/100, Train Loss: 292.7943, Train Accuracy: 95.4334, Train AUC-ROC: 0.9907, Train F1 Score: 0.9544
Epoch 90/100, Train Loss: 322.0527, Train Accuracy: 95.1625, Train AUC-ROC: 0.9892, Train F1 Score: 0.9519
Epoch 91/100, Train Loss: 283.5320, Train Accuracy: 95.8591, Train AUC-ROC: 0.9916, Train F1 Score: 0.9586
Epoch 92/100, Train Loss: 300.5397, Train Accuracy: 95.7817, Train AUC-ROC: 0.9901, Train F1 Score: 0.9579
Epoch 93/100, Train Loss: 298.5254, Train Accuracy: 95.9365, Train AUC-ROC: 0.9907, Train F1 Score: 0.9596
Epoch 94/100, Train Loss: 290.6563, Train Accuracy: 95.9365, Train AUC-ROC: 0.9910, Train F1 Score: 0.9595
Epoch 95/100, Train Loss: 283.8991, Train Accuracy: 96.0139, Train AUC-ROC: 0.9908, Train F1 Score: 0.9603
Epoch 96/100, Train Loss: 286.9458, Train Accuracy: 95.8204, Train AUC-ROC: 0.9918, Train F1 Score: 0.9584
Epoch 97/100, Train Loss: 304.9184, Train Accuracy: 95.2012, Train AUC-ROC: 0.9902, Train F1 Score: 0.9522
Epoch 98/100, Train Loss: 273.6363, Train Accuracy: 96.2074, Train AUC-ROC: 0.9912, Train F1 Score: 0.9623
Epoch 99/100, Train Loss: 257.2643, Train Accuracy: 96.8653, Train AUC-ROC: 0.9925, Train F1 Score: 0.9690
Epoch 100/100, Train Loss: 275.0432, Train Accuracy: 96.5170, Train AUC-ROC: 0.9912, Train F1 Score: 0.9653
