Epoch 1/100, Train Loss: 1688.8354, Train Accuracy: 68.0341, Train AUC-ROC: 0.7617, Train F1 Score: 0.5820, Train Precision: 0.8481, Train Recall: 0.4430
Epoch 2/100, Train Loss: 1562.3537, Train Accuracy: 85.0232, Train AUC-ROC: 0.9147, Train F1 Score: 0.8407, Train Precision: 0.9027, Train Recall: 0.7866
Epoch 3/100, Train Loss: 1526.4247, Train Accuracy: 89.2415, Train AUC-ROC: 0.9347, Train F1 Score: 0.8888, Train Precision: 0.9243, Train Recall: 0.8559
Epoch 4/100, Train Loss: 1519.9576, Train Accuracy: 89.5511, Train AUC-ROC: 0.9384, Train F1 Score: 0.8895, Train Precision: 0.9485, Train Recall: 0.8374
Epoch 5/100, Train Loss: 1512.1894, Train Accuracy: 91.1378, Train AUC-ROC: 0.9432, Train F1 Score: 0.9095, Train Precision: 0.9335, Train Recall: 0.8867
Epoch 6/100, Train Loss: 1511.3549, Train Accuracy: 91.1378, Train AUC-ROC: 0.9419, Train F1 Score: 0.9095, Train Precision: 0.9335, Train Recall: 0.8867
Epoch 7/100, Train Loss: 1512.7163, Train Accuracy: 90.8282, Train AUC-ROC: 0.9405, Train F1 Score: 0.9070, Train Precision: 0.9241, Train Recall: 0.8906
Epoch 8/100, Train Loss: 1507.9560, Train Accuracy: 91.6796, Train AUC-ROC: 0.9428, Train F1 Score: 0.9163, Train Precision: 0.9260, Train Recall: 0.9068
Epoch 9/100, Train Loss: 1505.6531, Train Accuracy: 91.6409, Train AUC-ROC: 0.9441, Train F1 Score: 0.9142, Train Precision: 0.9434, Train Recall: 0.8867
Epoch 10/100, Train Loss: 1502.4430, Train Accuracy: 91.9892, Train AUC-ROC: 0.9498, Train F1 Score: 0.9181, Train Precision: 0.9431, Train Recall: 0.8945
Epoch 11/100, Train Loss: 1499.7986, Train Accuracy: 92.7632, Train AUC-ROC: 0.9447, Train F1 Score: 0.9274, Train Precision: 0.9350, Train Recall: 0.9199
Epoch 12/100, Train Loss: 1506.6362, Train Accuracy: 91.6022, Train AUC-ROC: 0.9464, Train F1 Score: 0.9141, Train Precision: 0.9398, Train Recall: 0.8898
Epoch 13/100, Train Loss: 1500.2459, Train Accuracy: 92.1053, Train AUC-ROC: 0.9502, Train F1 Score: 0.9189, Train Precision: 0.9498, Train Recall: 0.8898
Epoch 14/100, Train Loss: 1499.6198, Train Accuracy: 92.4536, Train AUC-ROC: 0.9489, Train F1 Score: 0.9237, Train Precision: 0.9380, Train Recall: 0.9099
Epoch 15/100, Train Loss: 1499.3736, Train Accuracy: 92.4536, Train AUC-ROC: 0.9504, Train F1 Score: 0.9234, Train Precision: 0.9423, Train Recall: 0.9052
Epoch 16/100, Train Loss: 1503.3030, Train Accuracy: 91.3700, Train AUC-ROC: 0.9539, Train F1 Score: 0.9101, Train Precision: 0.9544, Train Recall: 0.8698
Epoch 17/100, Train Loss: 1499.4606, Train Accuracy: 92.4923, Train AUC-ROC: 0.9507, Train F1 Score: 0.9240, Train Precision: 0.9395, Train Recall: 0.9091
Epoch 18/100, Train Loss: 1495.8898, Train Accuracy: 92.6471, Train AUC-ROC: 0.9558, Train F1 Score: 0.9250, Train Precision: 0.9489, Train Recall: 0.9022
Epoch 19/100, Train Loss: 1491.5794, Train Accuracy: 93.1115, Train AUC-ROC: 0.9552, Train F1 Score: 0.9296, Train Precision: 0.9553, Train Recall: 0.9052
Epoch 20/100, Train Loss: 1491.7900, Train Accuracy: 92.9954, Train AUC-ROC: 0.9572, Train F1 Score: 0.9281, Train Precision: 0.9574, Train Recall: 0.9006
Epoch 21/100, Train Loss: 1496.2591, Train Accuracy: 92.6858, Train AUC-ROC: 0.9577, Train F1 Score: 0.9250, Train Precision: 0.9541, Train Recall: 0.8975
Epoch 22/100, Train Loss: 1487.5790, Train Accuracy: 93.7307, Train AUC-ROC: 0.9629, Train F1 Score: 0.9364, Train Precision: 0.9544, Train Recall: 0.9191
Epoch 23/100, Train Loss: 1492.7931, Train Accuracy: 93.0341, Train AUC-ROC: 0.9643, Train F1 Score: 0.9291, Train Precision: 0.9508, Train Recall: 0.9083
Epoch 24/100, Train Loss: 1484.5163, Train Accuracy: 94.1563, Train AUC-ROC: 0.9673, Train F1 Score: 0.9408, Train Precision: 0.9577, Train Recall: 0.9245
Epoch 25/100, Train Loss: 1485.4441, Train Accuracy: 94.0015, Train AUC-ROC: 0.9688, Train F1 Score: 0.9395, Train Precision: 0.9525, Train Recall: 0.9268
Epoch 26/100, Train Loss: 1486.6106, Train Accuracy: 93.7307, Train AUC-ROC: 0.9648, Train F1 Score: 0.9363, Train Precision: 0.9566, Train Recall: 0.9168
Epoch 27/100, Train Loss: 1483.3561, Train Accuracy: 94.2337, Train AUC-ROC: 0.9680, Train F1 Score: 0.9416, Train Precision: 0.9578, Train Recall: 0.9260
Epoch 28/100, Train Loss: 1483.5717, Train Accuracy: 94.1176, Train AUC-ROC: 0.9697, Train F1 Score: 0.9404, Train Precision: 0.9569, Train Recall: 0.9245
Epoch 29/100, Train Loss: 1482.8115, Train Accuracy: 94.2724, Train AUC-ROC: 0.9700, Train F1 Score: 0.9422, Train Precision: 0.9556, Train Recall: 0.9291
Epoch 30/100, Train Loss: 1482.3250, Train Accuracy: 94.3885, Train AUC-ROC: 0.9709, Train F1 Score: 0.9433, Train Precision: 0.9579, Train Recall: 0.9291
Epoch 31/100, Train Loss: 1479.7453, Train Accuracy: 94.8142, Train AUC-ROC: 0.9702, Train F1 Score: 0.9476, Train Precision: 0.9619, Train Recall: 0.9337
Epoch 32/100, Train Loss: 1483.0383, Train Accuracy: 94.1176, Train AUC-ROC: 0.9703, Train F1 Score: 0.9403, Train Precision: 0.9599, Train Recall: 0.9214
Epoch 33/100, Train Loss: 1480.7038, Train Accuracy: 94.4272, Train AUC-ROC: 0.9696, Train F1 Score: 0.9436, Train Precision: 0.9601, Train Recall: 0.9276
Epoch 34/100, Train Loss: 1481.1405, Train Accuracy: 94.5820, Train AUC-ROC: 0.9686, Train F1 Score: 0.9454, Train Precision: 0.9581, Train Recall: 0.9330
Epoch 35/100, Train Loss: 1479.5714, Train Accuracy: 94.8142, Train AUC-ROC: 0.9705, Train F1 Score: 0.9477, Train Precision: 0.9612, Train Recall: 0.9345
Epoch 36/100, Train Loss: 1482.2102, Train Accuracy: 94.3111, Train AUC-ROC: 0.9706, Train F1 Score: 0.9423, Train Precision: 0.9600, Train Recall: 0.9253
Epoch 37/100, Train Loss: 1478.8182, Train Accuracy: 94.7755, Train AUC-ROC: 0.9713, Train F1 Score: 0.9474, Train Precision: 0.9590, Train Recall: 0.9361
Epoch 38/100, Train Loss: 1477.5305, Train Accuracy: 95.2012, Train AUC-ROC: 0.9699, Train F1 Score: 0.9521, Train Precision: 0.9550, Train Recall: 0.9492
Epoch 39/100, Train Loss: 1479.6587, Train Accuracy: 94.6207, Train AUC-ROC: 0.9718, Train F1 Score: 0.9456, Train Precision: 0.9610, Train Recall: 0.9307
Epoch 40/100, Train Loss: 1478.7999, Train Accuracy: 94.8529, Train AUC-ROC: 0.9702, Train F1 Score: 0.9483, Train Precision: 0.9561, Train Recall: 0.9407
Epoch 41/100, Train Loss: 1475.2853, Train Accuracy: 95.3173, Train AUC-ROC: 0.9712, Train F1 Score: 0.9530, Train Precision: 0.9608, Train Recall: 0.9453
Epoch 42/100, Train Loss: 1478.7329, Train Accuracy: 94.8142, Train AUC-ROC: 0.9709, Train F1 Score: 0.9478, Train Precision: 0.9583, Train Recall: 0.9376
Epoch 43/100, Train Loss: 1475.6958, Train Accuracy: 95.4721, Train AUC-ROC: 0.9684, Train F1 Score: 0.9548, Train Precision: 0.9581, Train Recall: 0.9515
Epoch 44/100, Train Loss: 1482.1069, Train Accuracy: 94.3498, Train AUC-ROC: 0.9720, Train F1 Score: 0.9427, Train Precision: 0.9608, Train Recall: 0.9253
Epoch 45/100, Train Loss: 1476.3195, Train Accuracy: 95.2786, Train AUC-ROC: 0.9708, Train F1 Score: 0.9527, Train Precision: 0.9579, Train Recall: 0.9476
Epoch 46/100, Train Loss: 1475.7673, Train Accuracy: 95.3173, Train AUC-ROC: 0.9705, Train F1 Score: 0.9532, Train Precision: 0.9573, Train Recall: 0.9492
Epoch 47/100, Train Loss: 1474.7708, Train Accuracy: 95.3560, Train AUC-ROC: 0.9707, Train F1 Score: 0.9534, Train Precision: 0.9609, Train Recall: 0.9461
Epoch 48/100, Train Loss: 1473.4620, Train Accuracy: 95.5495, Train AUC-ROC: 0.9714, Train F1 Score: 0.9553, Train Precision: 0.9632, Train Recall: 0.9476
