Epoch 1/100, Train Loss: 147552.3909, Train Accuracy: 60.2941, Train AUC-ROC: 0.7054, Train F1 Score: 0.4130
Epoch 2/100, Train Loss: 132321.2824, Train Accuracy: 78.0186, Train AUC-ROC: 0.8705, Train F1 Score: 0.7515
Epoch 3/100, Train Loss: 132839.5380, Train Accuracy: 84.8684, Train AUC-ROC: 0.9143, Train F1 Score: 0.8392
Epoch 4/100, Train Loss: 131529.1065, Train Accuracy: 86.2229, Train AUC-ROC: 0.9315, Train F1 Score: 0.8548
Epoch 5/100, Train Loss: 124524.4197, Train Accuracy: 87.7709, Train AUC-ROC: 0.9430, Train F1 Score: 0.8727
Epoch 6/100, Train Loss: 114240.8789, Train Accuracy: 88.5449, Train AUC-ROC: 0.9483, Train F1 Score: 0.8810
Epoch 7/100, Train Loss: 110376.5498, Train Accuracy: 89.2028, Train AUC-ROC: 0.9519, Train F1 Score: 0.8880
Epoch 8/100, Train Loss: 102143.8508, Train Accuracy: 89.5124, Train AUC-ROC: 0.9559, Train F1 Score: 0.8917
Epoch 9/100, Train Loss: 103442.7107, Train Accuracy: 89.2415, Train AUC-ROC: 0.9563, Train F1 Score: 0.8887
Epoch 10/100, Train Loss: 106147.7342, Train Accuracy: 89.7446, Train AUC-ROC: 0.9579, Train F1 Score: 0.8940
Epoch 11/100, Train Loss: 106510.1777, Train Accuracy: 90.5186, Train AUC-ROC: 0.9581, Train F1 Score: 0.9022
Epoch 12/100, Train Loss: 111442.6563, Train Accuracy: 90.0155, Train AUC-ROC: 0.9580, Train F1 Score: 0.8969
Epoch 13/100, Train Loss: 110204.6692, Train Accuracy: 90.2090, Train AUC-ROC: 0.9578, Train F1 Score: 0.8992
Epoch 14/100, Train Loss: 107735.9220, Train Accuracy: 89.8220, Train AUC-ROC: 0.9594, Train F1 Score: 0.8950
Epoch 15/100, Train Loss: 102427.9621, Train Accuracy: 89.9381, Train AUC-ROC: 0.9593, Train F1 Score: 0.8962
Epoch 16/100, Train Loss: 100202.4853, Train Accuracy: 90.5186, Train AUC-ROC: 0.9615, Train F1 Score: 0.9027
Epoch 17/100, Train Loss: 103996.6576, Train Accuracy: 90.2864, Train AUC-ROC: 0.9604, Train F1 Score: 0.9002
Epoch 18/100, Train Loss: 100251.5320, Train Accuracy: 90.2477, Train AUC-ROC: 0.9606, Train F1 Score: 0.8995
Epoch 19/100, Train Loss: 95955.4596, Train Accuracy: 90.9830, Train AUC-ROC: 0.9617, Train F1 Score: 0.9072
Epoch 20/100, Train Loss: 97600.2756, Train Accuracy: 90.9443, Train AUC-ROC: 0.9617, Train F1 Score: 0.9067
Epoch 21/100, Train Loss: 111369.4973, Train Accuracy: 91.4474, Train AUC-ROC: 0.9645, Train F1 Score: 0.9126
Epoch 22/100, Train Loss: 113774.8628, Train Accuracy: 90.7508, Train AUC-ROC: 0.9632, Train F1 Score: 0.9053
Epoch 23/100, Train Loss: 108821.4551, Train Accuracy: 90.6347, Train AUC-ROC: 0.9619, Train F1 Score: 0.9037
Epoch 24/100, Train Loss: 122455.5439, Train Accuracy: 90.7895, Train AUC-ROC: 0.9622, Train F1 Score: 0.9056
Epoch 25/100, Train Loss: 129491.0415, Train Accuracy: 91.3700, Train AUC-ROC: 0.9623, Train F1 Score: 0.9118
Epoch 26/100, Train Loss: 129294.2638, Train Accuracy: 91.2539, Train AUC-ROC: 0.9636, Train F1 Score: 0.9106
Epoch 27/100, Train Loss: 109932.5434, Train Accuracy: 90.9443, Train AUC-ROC: 0.9639, Train F1 Score: 0.9074
Epoch 28/100, Train Loss: 97959.6605, Train Accuracy: 90.7121, Train AUC-ROC: 0.9643, Train F1 Score: 0.9046
Epoch 29/100, Train Loss: 100918.7335, Train Accuracy: 90.8282, Train AUC-ROC: 0.9623, Train F1 Score: 0.9064
Epoch 30/100, Train Loss: 120671.2571, Train Accuracy: 91.8344, Train AUC-ROC: 0.9642, Train F1 Score: 0.9168
Epoch 31/100, Train Loss: 94794.8662, Train Accuracy: 90.8669, Train AUC-ROC: 0.9651, Train F1 Score: 0.9063
Epoch 32/100, Train Loss: 101423.9572, Train Accuracy: 91.4474, Train AUC-ROC: 0.9660, Train F1 Score: 0.9121
Epoch 33/100, Train Loss: 97553.1192, Train Accuracy: 91.0604, Train AUC-ROC: 0.9625, Train F1 Score: 0.9086
Epoch 34/100, Train Loss: 97417.5562, Train Accuracy: 91.1765, Train AUC-ROC: 0.9643, Train F1 Score: 0.9097
Epoch 35/100, Train Loss: 95529.9263, Train Accuracy: 91.4474, Train AUC-ROC: 0.9656, Train F1 Score: 0.9125
Epoch 36/100, Train Loss: 98663.7591, Train Accuracy: 91.0604, Train AUC-ROC: 0.9637, Train F1 Score: 0.9086
Epoch 37/100, Train Loss: 118633.8486, Train Accuracy: 91.4861, Train AUC-ROC: 0.9657, Train F1 Score: 0.9132
Epoch 38/100, Train Loss: 104629.0448, Train Accuracy: 91.1378, Train AUC-ROC: 0.9640, Train F1 Score: 0.9095
Epoch 39/100, Train Loss: 117868.1843, Train Accuracy: 91.4087, Train AUC-ROC: 0.9644, Train F1 Score: 0.9120
Epoch 40/100, Train Loss: 115684.6196, Train Accuracy: 92.1440, Train AUC-ROC: 0.9661, Train F1 Score: 0.9199
Epoch 41/100, Train Loss: 111052.4541, Train Accuracy: 91.6022, Train AUC-ROC: 0.9661, Train F1 Score: 0.9143
