Epoch 1/100, Train Loss: 853.7845, Train Accuracy: 75.2898, Train AUC-ROC: 0.6248, Train F1 Score: 0.8533 , Train Precision: 0.7864, Train Recall: 0.9327
Epoch 2/100, Train Loss: 789.0760, Train Accuracy: 77.0592, Train AUC-ROC: 0.7110, Train F1 Score: 0.8604 , Train Precision: 0.8099, Train Recall: 0.9177
Epoch 3/100, Train Loss: 687.7598, Train Accuracy: 81.2691, Train AUC-ROC: 0.8017, Train F1 Score: 0.8822 , Train Precision: 0.8557, Train Recall: 0.9105
Epoch 4/100, Train Loss: 541.6080, Train Accuracy: 86.4552, Train AUC-ROC: 0.8893, Train F1 Score: 0.9140 , Train Precision: 0.8952, Train Recall: 0.9335
Epoch 5/100, Train Loss: 515.4584, Train Accuracy: 86.3941, Train AUC-ROC: 0.9012, Train F1 Score: 0.9129 , Train Precision: 0.9006, Train Recall: 0.9256
Epoch 6/100, Train Loss: 493.4893, Train Accuracy: 87.3093, Train AUC-ROC: 0.9143, Train F1 Score: 0.9187 , Train Precision: 0.9073, Train Recall: 0.9303
Epoch 7/100, Train Loss: 519.3407, Train Accuracy: 86.0281, Train AUC-ROC: 0.9016, Train F1 Score: 0.9102 , Train Precision: 0.9020, Train Recall: 0.9184
Epoch 8/100, Train Loss: 465.7383, Train Accuracy: 87.1263, Train AUC-ROC: 0.9262, Train F1 Score: 0.9162 , Train Precision: 0.9195, Train Recall: 0.9129
Epoch 9/100, Train Loss: 531.6653, Train Accuracy: 85.9671, Train AUC-ROC: 0.9025, Train F1 Score: 0.9089 , Train Precision: 0.9089, Train Recall: 0.9089
Epoch 10/100, Train Loss: 460.9763, Train Accuracy: 88.0415, Train AUC-ROC: 0.9260, Train F1 Score: 0.9225 , Train Precision: 0.9211, Train Recall: 0.9240
Epoch 11/100, Train Loss: 448.4217, Train Accuracy: 88.2245, Train AUC-ROC: 0.9304, Train F1 Score: 0.9231 , Train Precision: 0.9287, Train Recall: 0.9177
Epoch 12/100, Train Loss: 472.9001, Train Accuracy: 87.7364, Train AUC-ROC: 0.9208, Train F1 Score: 0.9203 , Train Precision: 0.9214, Train Recall: 0.9192
Epoch 13/100, Train Loss: 436.2771, Train Accuracy: 87.9195, Train AUC-ROC: 0.9351, Train F1 Score: 0.9210 , Train Precision: 0.9284, Train Recall: 0.9137
Epoch 14/100, Train Loss: 427.9377, Train Accuracy: 88.7126, Train AUC-ROC: 0.9385, Train F1 Score: 0.9263 , Train Precision: 0.9326, Train Recall: 0.9200
Epoch 15/100, Train Loss: 449.7942, Train Accuracy: 87.2483, Train AUC-ROC: 0.9303, Train F1 Score: 0.9168 , Train Precision: 0.9216, Train Recall: 0.9121
Epoch 16/100, Train Loss: 408.5720, Train Accuracy: 89.2617, Train AUC-ROC: 0.9432, Train F1 Score: 0.9302 , Train Precision: 0.9324, Train Recall: 0.9279
Epoch 17/100, Train Loss: 403.7573, Train Accuracy: 88.8957, Train AUC-ROC: 0.9438, Train F1 Score: 0.9271 , Train Precision: 0.9377, Train Recall: 0.9169
Epoch 18/100, Train Loss: 431.9488, Train Accuracy: 87.7974, Train AUC-ROC: 0.9372, Train F1 Score: 0.9192 , Train Precision: 0.9389, Train Recall: 0.9002
Epoch 19/100, Train Loss: 388.5600, Train Accuracy: 89.5058, Train AUC-ROC: 0.9491, Train F1 Score: 0.9309 , Train Precision: 0.9453, Train Recall: 0.9169
