Epoch 1/100, Train Loss: 840.2068, Train Accuracy: 72.7883, Train AUC-ROC: 0.6669, Train F1 Score: 0.8316 , Train Precision: 0.7949, Train Recall: 0.8717
Epoch 2/100, Train Loss: 749.0876, Train Accuracy: 79.0116, Train AUC-ROC: 0.7674, Train F1 Score: 0.8725 , Train Precision: 0.8202, Train Recall: 0.9319
Epoch 3/100, Train Loss: 559.8865, Train Accuracy: 84.1977, Train AUC-ROC: 0.8851, Train F1 Score: 0.8986 , Train Precision: 0.8885, Train Recall: 0.9089
Epoch 4/100, Train Loss: 517.5813, Train Accuracy: 85.1739, Train AUC-ROC: 0.9061, Train F1 Score: 0.9049 , Train Precision: 0.8947, Train Recall: 0.9153
Epoch 5/100, Train Loss: 512.0923, Train Accuracy: 85.3569, Train AUC-ROC: 0.9073, Train F1 Score: 0.9060 , Train Precision: 0.8968, Train Recall: 0.9153
Epoch 6/100, Train Loss: 521.9893, Train Accuracy: 86.0891, Train AUC-ROC: 0.9015, Train F1 Score: 0.9116 , Train Precision: 0.8935, Train Recall: 0.9303
Epoch 7/100, Train Loss: 508.3200, Train Accuracy: 86.3331, Train AUC-ROC: 0.9096, Train F1 Score: 0.9131 , Train Precision: 0.8951, Train Recall: 0.9319
Epoch 8/100, Train Loss: 491.8340, Train Accuracy: 86.4552, Train AUC-ROC: 0.9142, Train F1 Score: 0.9140 , Train Precision: 0.8946, Train Recall: 0.9343
Epoch 9/100, Train Loss: 477.2283, Train Accuracy: 87.1263, Train AUC-ROC: 0.9173, Train F1 Score: 0.9184 , Train Precision: 0.8979, Train Recall: 0.9398
Epoch 10/100, Train Loss: 481.1029, Train Accuracy: 86.8212, Train AUC-ROC: 0.9191, Train F1 Score: 0.9160 , Train Precision: 0.9005, Train Recall: 0.9319
Epoch 11/100, Train Loss: 473.9650, Train Accuracy: 86.6382, Train AUC-ROC: 0.9177, Train F1 Score: 0.9146 , Train Precision: 0.9015, Train Recall: 0.9279
Epoch 12/100, Train Loss: 475.8998, Train Accuracy: 87.0043, Train AUC-ROC: 0.9178, Train F1 Score: 0.9174 , Train Precision: 0.8989, Train Recall: 0.9367
Epoch 13/100, Train Loss: 497.1084, Train Accuracy: 86.6992, Train AUC-ROC: 0.9099, Train F1 Score: 0.9142 , Train Precision: 0.9085, Train Recall: 0.9200
Epoch 14/100, Train Loss: 468.2609, Train Accuracy: 87.0653, Train AUC-ROC: 0.9212, Train F1 Score: 0.9166 , Train Precision: 0.9109, Train Recall: 0.9224
Epoch 15/100, Train Loss: 459.8346, Train Accuracy: 87.0653, Train AUC-ROC: 0.9247, Train F1 Score: 0.9163 , Train Precision: 0.9135, Train Recall: 0.9192
Epoch 16/100, Train Loss: 461.6729, Train Accuracy: 87.7974, Train AUC-ROC: 0.9235, Train F1 Score: 0.9217 , Train Precision: 0.9117, Train Recall: 0.9319
Epoch 17/100, Train Loss: 443.3210, Train Accuracy: 88.1025, Train AUC-ROC: 0.9298, Train F1 Score: 0.9237 , Train Precision: 0.9127, Train Recall: 0.9351
Epoch 18/100, Train Loss: 446.4937, Train Accuracy: 88.5906, Train AUC-ROC: 0.9292, Train F1 Score: 0.9266 , Train Precision: 0.9190, Train Recall: 0.9343
