Epoch 49/100, Train Loss: 210477.3848, Train Accuracy: 90.4375, Train AUC-ROC: 0.9676, Train F1 Score: 0.9002
Epoch 50/100, Train Loss: 210582.7325, Train Accuracy: 90.3250, Train AUC-ROC: 0.9687, Train F1 Score: 0.8989
Epoch 51/100, Train Loss: 208965.7550, Train Accuracy: 90.5125, Train AUC-ROC: 0.9675, Train F1 Score: 0.9012
Epoch 52/100, Train Loss: 208603.9431, Train Accuracy: 90.7125, Train AUC-ROC: 0.9698, Train F1 Score: 0.9031
Epoch 53/100, Train Loss: 207643.9109, Train Accuracy: 90.9750, Train AUC-ROC: 0.9699, Train F1 Score: 0.9060
Epoch 54/100, Train Loss: 207413.7211, Train Accuracy: 90.5625, Train AUC-ROC: 0.9708, Train F1 Score: 0.9016
Epoch 55/100, Train Loss: 207040.7475, Train Accuracy: 90.8500, Train AUC-ROC: 0.9703, Train F1 Score: 0.9049
Epoch 56/100, Train Loss: 206881.7189, Train Accuracy: 90.9875, Train AUC-ROC: 0.9722, Train F1 Score: 0.9063
Epoch 57/100, Train Loss: 207624.9490, Train Accuracy: 90.8250, Train AUC-ROC: 0.9690, Train F1 Score: 0.9043
Epoch 58/100, Train Loss: 213563.9376, Train Accuracy: 89.9875, Train AUC-ROC: 0.9622, Train F1 Score: 0.8956
Epoch 59/100, Train Loss: 231934.2651, Train Accuracy: 83.1500, Train AUC-ROC: 0.9279, Train F1 Score: 0.8080
Epoch 60/100, Train Loss: 219242.6717, Train Accuracy: 91.1125, Train AUC-ROC: 0.9710, Train F1 Score: 0.9071
Epoch 61/100, Train Loss: 222473.9459, Train Accuracy: 90.6875, Train AUC-ROC: 0.9703, Train F1 Score: 0.9026
Epoch 62/100, Train Loss: 219507.4374, Train Accuracy: 90.9625, Train AUC-ROC: 0.9720, Train F1 Score: 0.9056
Epoch 63/100, Train Loss: 217524.1770, Train Accuracy: 90.9875, Train AUC-ROC: 0.9704, Train F1 Score: 0.9062
Epoch 64/100, Train Loss: 215037.0448, Train Accuracy: 90.6875, Train AUC-ROC: 0.9682, Train F1 Score: 0.9028
Epoch 65/100, Train Loss: 210154.4196, Train Accuracy: 91.0750, Train AUC-ROC: 0.9706, Train F1 Score: 0.9070
Epoch 66/100, Train Loss: 212760.8086, Train Accuracy: 90.7625, Train AUC-ROC: 0.9695, Train F1 Score: 0.9035
Epoch 67/100, Train Loss: 208044.2916, Train Accuracy: 90.4000, Train AUC-ROC: 0.9694, Train F1 Score: 0.9001
Epoch 68/100, Train Loss: 208396.9989, Train Accuracy: 90.7750, Train AUC-ROC: 0.9703, Train F1 Score: 0.9039
Epoch 69/100, Train Loss: 208598.2147, Train Accuracy: 91.0375, Train AUC-ROC: 0.9709, Train F1 Score: 0.9066
Epoch 70/100, Train Loss: 207110.9006, Train Accuracy: 90.7125, Train AUC-ROC: 0.9688, Train F1 Score: 0.9032
Epoch 71/100, Train Loss: 208217.4813, Train Accuracy: 90.8500, Train AUC-ROC: 0.9711, Train F1 Score: 0.9048
Epoch 72/100, Train Loss: 208003.9780, Train Accuracy: 90.7375, Train AUC-ROC: 0.9711, Train F1 Score: 0.9035
Epoch 73/100, Train Loss: 206452.2840, Train Accuracy: 90.8250, Train AUC-ROC: 0.9712, Train F1 Score: 0.9044
Epoch 74/100, Train Loss: 206104.4122, Train Accuracy: 91.2250, Train AUC-ROC: 0.9722, Train F1 Score: 0.9087
Epoch 75/100, Train Loss: 203876.2642, Train Accuracy: 90.7750, Train AUC-ROC: 0.9706, Train F1 Score: 0.9035
Epoch 76/100, Train Loss: 202174.9550, Train Accuracy: 90.8125, Train AUC-ROC: 0.9705, Train F1 Score: 0.9041
Epoch 77/100, Train Loss: 202414.4457, Train Accuracy: 90.7875, Train AUC-ROC: 0.9707, Train F1 Score: 0.9038
Epoch 78/100, Train Loss: 199535.7813, Train Accuracy: 90.8625, Train AUC-ROC: 0.9706, Train F1 Score: 0.9049
Epoch 79/100, Train Loss: 199723.8186, Train Accuracy: 90.6000, Train AUC-ROC: 0.9699, Train F1 Score: 0.9018
Epoch 80/100, Train Loss: 197513.0625, Train Accuracy: 91.0750, Train AUC-ROC: 0.9719, Train F1 Score: 0.9066
Epoch 81/100, Train Loss: 196575.9238, Train Accuracy: 91.1875, Train AUC-ROC: 0.9728, Train F1 Score: 0.9083
Epoch 82/100, Train Loss: 195814.6058, Train Accuracy: 91.1250, Train AUC-ROC: 0.9736, Train F1 Score: 0.9075
Epoch 83/100, Train Loss: 196900.9180, Train Accuracy: 91.5000, Train AUC-ROC: 0.9730, Train F1 Score: 0.9116
Epoch 84/100, Train Loss: 195965.9918, Train Accuracy: 90.7125, Train AUC-ROC: 0.9719, Train F1 Score: 0.9033
Epoch 85/100, Train Loss: 197987.4091, Train Accuracy: 91.0125, Train AUC-ROC: 0.9701, Train F1 Score: 0.9062
Epoch 86/100, Train Loss: 193756.4699, Train Accuracy: 91.0750, Train AUC-ROC: 0.9728, Train F1 Score: 0.9072
Epoch 87/100, Train Loss: 193621.1743, Train Accuracy: 91.2250, Train AUC-ROC: 0.9727, Train F1 Score: 0.9087
Epoch 88/100, Train Loss: 192725.1597, Train Accuracy: 91.3750, Train AUC-ROC: 0.9729, Train F1 Score: 0.9102
Epoch 89/100, Train Loss: 192652.7013, Train Accuracy: 91.5625, Train AUC-ROC: 0.9739, Train F1 Score: 0.9124
Epoch 90/100, Train Loss: 191433.2468, Train Accuracy: 91.0750, Train AUC-ROC: 0.9728, Train F1 Score: 0.9070
Epoch 91/100, Train Loss: 190652.5408, Train Accuracy: 91.0875, Train AUC-ROC: 0.9749, Train F1 Score: 0.9071
Epoch 92/100, Train Loss: 189754.9669, Train Accuracy: 91.2250, Train AUC-ROC: 0.9735, Train F1 Score: 0.9086
Epoch 93/100, Train Loss: 188385.7702, Train Accuracy: 91.3750, Train AUC-ROC: 0.9742, Train F1 Score: 0.9103
Epoch 94/100, Train Loss: 187368.8963, Train Accuracy: 91.6875, Train AUC-ROC: 0.9749, Train F1 Score: 0.9137
Epoch 95/100, Train Loss: 185879.3208, Train Accuracy: 91.3375, Train AUC-ROC: 0.9749, Train F1 Score: 0.9101
Epoch 96/100, Train Loss: 184617.0181, Train Accuracy: 92.1000, Train AUC-ROC: 0.9760, Train F1 Score: 0.9180
Epoch 97/100, Train Loss: 183565.3078, Train Accuracy: 91.6625, Train AUC-ROC: 0.9740, Train F1 Score: 0.9133
Epoch 98/100, Train Loss: 181487.8743, Train Accuracy: 91.5125, Train AUC-ROC: 0.9748, Train F1 Score: 0.9118
Epoch 99/100, Train Loss: 181547.9558, Train Accuracy: 91.7125, Train AUC-ROC: 0.9752, Train F1 Score: 0.9140
Epoch 100/100, Train Loss: 181925.3178, Train Accuracy: 91.7750, Train AUC-ROC: 0.9743, Train F1 Score: 0.9146
