Epoch 1/100, Train Loss: 393313.1634, Train Accuracy: 79.6250, Train AUC-ROC: 0.8998, Train F1 Score: 0.7678 , Train Precision: 0.8959, Train Recall: 0.6717
Epoch 2/100, Train Loss: 334974.4599, Train Accuracy: 86.1250, Train AUC-ROC: 0.9406, Train F1 Score: 0.8525 , Train Precision: 0.9132, Train Recall: 0.7994
Epoch 3/100, Train Loss: 319251.4446, Train Accuracy: 86.7375, Train AUC-ROC: 0.9448, Train F1 Score: 0.8599 , Train Precision: 0.9143, Train Recall: 0.8116
Epoch 4/100, Train Loss: 336765.8694, Train Accuracy: 87.2250, Train AUC-ROC: 0.9467, Train F1 Score: 0.8654 , Train Precision: 0.9174, Train Recall: 0.8190
Epoch 5/100, Train Loss: 367728.1178, Train Accuracy: 87.2875, Train AUC-ROC: 0.9475, Train F1 Score: 0.8661 , Train Precision: 0.9177, Train Recall: 0.8200
Epoch 6/100, Train Loss: 366610.4043, Train Accuracy: 87.3000, Train AUC-ROC: 0.9478, Train F1 Score: 0.8666 , Train Precision: 0.9156, Train Recall: 0.8225
Epoch 7/100, Train Loss: 320923.3344, Train Accuracy: 87.3125, Train AUC-ROC: 0.9490, Train F1 Score: 0.8665 , Train Precision: 0.9171, Train Recall: 0.8213
Epoch 8/100, Train Loss: 276949.7447, Train Accuracy: 87.3500, Train AUC-ROC: 0.9483, Train F1 Score: 0.8669 , Train Precision: 0.9178, Train Recall: 0.8213
Epoch 9/100, Train Loss: 248602.5671, Train Accuracy: 87.1875, Train AUC-ROC: 0.9487, Train F1 Score: 0.8649 , Train Precision: 0.9178, Train Recall: 0.8178
Epoch 10/100, Train Loss: 251995.8112, Train Accuracy: 87.7750, Train AUC-ROC: 0.9493, Train F1 Score: 0.8715 , Train Precision: 0.9219, Train Recall: 0.8263
Epoch 11/100, Train Loss: 274303.6866, Train Accuracy: 87.6375, Train AUC-ROC: 0.9507, Train F1 Score: 0.8701 , Train Precision: 0.9197, Train Recall: 0.8255
Epoch 12/100, Train Loss: 269597.6313, Train Accuracy: 87.5250, Train AUC-ROC: 0.9495, Train F1 Score: 0.8689 , Train Precision: 0.9188, Train Recall: 0.8240
Epoch 13/100, Train Loss: 273217.2553, Train Accuracy: 87.7375, Train AUC-ROC: 0.9509, Train F1 Score: 0.8708 , Train Precision: 0.9230, Train Recall: 0.8243
Epoch 14/100, Train Loss: 312921.2773, Train Accuracy: 87.6625, Train AUC-ROC: 0.9503, Train F1 Score: 0.8703 , Train Precision: 0.9203, Train Recall: 0.8255
Epoch 15/100, Train Loss: 294316.7457, Train Accuracy: 87.5500, Train AUC-ROC: 0.9500, Train F1 Score: 0.8691 , Train Precision: 0.9194, Train Recall: 0.8240
Epoch 16/100, Train Loss: 284718.2479, Train Accuracy: 87.5000, Train AUC-ROC: 0.9514, Train F1 Score: 0.8684 , Train Precision: 0.9202, Train Recall: 0.8220
Epoch 17/100, Train Loss: 244563.1347, Train Accuracy: 88.0875, Train AUC-ROC: 0.9512, Train F1 Score: 0.8748 , Train Precision: 0.9252, Train Recall: 0.8295
Epoch 18/100, Train Loss: 282568.7849, Train Accuracy: 87.9750, Train AUC-ROC: 0.9507, Train F1 Score: 0.8737 , Train Precision: 0.9229, Train Recall: 0.8295
Epoch 19/100, Train Loss: 316298.6185, Train Accuracy: 88.0625, Train AUC-ROC: 0.9508, Train F1 Score: 0.8744 , Train Precision: 0.9256, Train Recall: 0.8285
Epoch 20/100, Train Loss: 345066.0734, Train Accuracy: 87.8375, Train AUC-ROC: 0.9512, Train F1 Score: 0.8720 , Train Precision: 0.9231, Train Recall: 0.8263
Epoch 21/100, Train Loss: 291000.5375, Train Accuracy: 87.7750, Train AUC-ROC: 0.9506, Train F1 Score: 0.8713 , Train Precision: 0.9226, Train Recall: 0.8255
Epoch 22/100, Train Loss: 252052.7583, Train Accuracy: 87.9750, Train AUC-ROC: 0.9519, Train F1 Score: 0.8738 , Train Precision: 0.9227, Train Recall: 0.8298
Epoch 23/100, Train Loss: 296756.0628, Train Accuracy: 87.8625, Train AUC-ROC: 0.9522, Train F1 Score: 0.8720 , Train Precision: 0.9258, Train Recall: 0.8240
Epoch 24/100, Train Loss: 361571.0073, Train Accuracy: 87.8375, Train AUC-ROC: 0.9511, Train F1 Score: 0.8721 , Train Precision: 0.9224, Train Recall: 0.8270
Epoch 25/100, Train Loss: 364150.3419, Train Accuracy: 88.0375, Train AUC-ROC: 0.9526, Train F1 Score: 0.8739 , Train Precision: 0.9268, Train Recall: 0.8268
Epoch 26/100, Train Loss: 317648.4109, Train Accuracy: 87.8750, Train AUC-ROC: 0.9529, Train F1 Score: 0.8727 , Train Precision: 0.9218, Train Recall: 0.8285
Epoch 27/100, Train Loss: 291853.2712, Train Accuracy: 87.6500, Train AUC-ROC: 0.9531, Train F1 Score: 0.8703 , Train Precision: 0.9195, Train Recall: 0.8260
Epoch 28/100, Train Loss: 271878.4503, Train Accuracy: 88.3875, Train AUC-ROC: 0.9535, Train F1 Score: 0.8782 , Train Precision: 0.9264, Train Recall: 0.8347
Epoch 29/100, Train Loss: 267668.2967, Train Accuracy: 88.1750, Train AUC-ROC: 0.9543, Train F1 Score: 0.8758 , Train Precision: 0.9256, Train Recall: 0.8310
