Epoch 1/100, Train Loss: 0.5199, Test Loss: 0.3745, Train Accuracy: 0.7454, Train Precision: 0.7350, Train Recall: 0.7524, Train F1 Score: 0.7436, Train AUC-ROC: 0.8287, Test Accuracy: 0.8607, Test Precision: 0.8225, Test Recall: 0.9026, Test F1 Score: 0.8607, Test AUC-ROC: 0.9231
Epoch 19/100, Train Loss: 0.2295, Test Loss: 0.2444, Train Accuracy: 0.9241, Train Precision: 0.9237, Train Recall: 0.9252, Train F1 Score: 0.9244, Train AUC-ROC: 0.9673, Test Accuracy: 0.9350, Test Precision: 0.9290, Test Recall: 0.9458, Test F1 Score: 0.9373, Test AUC-ROC: 0.9595

Epoch 20/100, Train Loss: 0.2340, Test Loss: 0.2790, Train Accuracy: 0.9211, Train Precision: 0.9206, Train Recall: 0.9221, Train F1 Score: 0.9214, Train AUC-ROC: 0.9669, Test Accuracy: 0.9226, Test Precision: 0.8817, Test Recall: 0.9675, Test F1 Score: 0.9226, Test AUC-ROC: 0.9562

Epoch 21/100, Train Loss: 0.2219, Test Loss: 0.2496, Train Accuracy: 0.9257, Train Precision: 0.9199, Train Recall: 0.9314, Train F1 Score: 0.9256, Train AUC-ROC: 0.9692, Test Accuracy: 0.9288, Test Precision: 0.9053, Test Recall: 0.9563, Test F1 Score: 0.9301, Test AUC-ROC: 0.9597

Epoch 22/100, Train Loss: 0.2257, Test Loss: 0.2590, Train Accuracy: 0.9207, Train Precision: 0.9191, Train Recall: 0.9227, Train F1 Score: 0.9209, Train AUC-ROC: 0.9684, Test Accuracy: 0.9350, Test Precision: 0.9231, Test Recall: 0.9512, Test F1 Score: 0.9369, Test AUC-ROC: 0.9574

Epoch 23/100, Train Loss: 0.2276, Test Loss: 0.2526, Train Accuracy: 0.9253, Train Precision: 0.9253, Train Recall: 0.9260, Train F1 Score: 0.9256, Train AUC-ROC: 0.9681, Test Accuracy: 0.9257, Test Precision: 0.8876, Test Recall: 0.9677, Test F1 Score: 0.9259, Test AUC-ROC: 0.9612

Epoch 24/100, Train Loss: 0.2225, Test Loss: 0.2386, Train Accuracy: 0.9276, Train Precision: 0.9260, Train Recall: 0.9296, Train F1 Score: 0.9278, Train AUC-ROC: 0.9696, Test Accuracy: 0.9319, Test Precision: 0.9112, Test Recall: 0.9565, Test F1 Score: 0.9333, Test AUC-ROC: 0.9637

Epoch 25/100, Train Loss: 0.2272, Test Loss: 0.2311, Train Accuracy: 0.9234, Train Precision: 0.9230, Train Recall: 0.9244, Train F1 Score: 0.9237, Train AUC-ROC: 0.9682, Test Accuracy: 0.9381, Test Precision: 0.9172, Test Recall: 0.9627, Test F1 Score: 0.9394, Test AUC-ROC: 0.9658

Epoch 26/100, Train Loss: 0.2240, Test Loss: 0.2434, Train Accuracy: 0.9191, Train Precision: 0.9183, Train Recall: 0.9205, Train F1 Score: 0.9194, Train AUC-ROC: 0.9689, Test Accuracy: 0.9288, Test Precision: 0.9112, Test Recall: 0.9506, Test F1 Score: 0.9305, Test AUC-ROC: 0.9615

Epoch 27/100, Train Loss: 0.2169, Test Loss: 0.2667, Train Accuracy: 0.9253, Train Precision: 0.9245, Train Recall: 0.9266, Train F1 Score: 0.9256, Train AUC-ROC: 0.9695, Test Accuracy: 0.9226, Test Precision: 0.8817, Test Recall: 0.9675, Test F1 Score: 0.9226, Test AUC-ROC: 0.9617

Epoch 28/100, Train Loss: 0.2199, Test Loss: 0.2462, Train Accuracy: 0.9272, Train Precision: 0.9260, Train Recall: 0.9289, Train F1 Score: 0.9275, Train AUC-ROC: 0.9698, Test Accuracy: 0.9288, Test Precision: 0.8994, Test Recall: 0.9620, Test F1 Score: 0.9297, Test AUC-ROC: 0.9628

Epoch 29/100, Train Loss: 0.2112, Test Loss: 0.2501, Train Accuracy: 0.9315, Train Precision: 0.9314, Train Recall: 0.9322, Train F1 Score: 0.9318, Train AUC-ROC: 0.9716, Test Accuracy: 0.9381, Test Precision: 0.9112, Test Recall: 0.9686, Test F1 Score: 0.9390, Test AUC-ROC: 0.9622

Epoch 30/100, Train Loss: 0.2114, Test Loss: 0.2525, Train Accuracy: 0.9315, Train Precision: 0.9322, Train Recall: 0.9315, Train F1 Score: 0.9318, Train AUC-ROC: 0.9726, Test Accuracy: 0.9257, Test Precision: 0.8935, Test Recall: 0.9618, Test F1 Score: 0.9264, Test AUC-ROC: 0.9631

Epoch 31/100, Train Loss: 0.2181, Test Loss: 0.2315, Train Accuracy: 0.9269, Train Precision: 0.9268, Train Recall: 0.9275, Train F1 Score: 0.9272, Train AUC-ROC: 0.9699, Test Accuracy: 0.9319, Test Precision: 0.9231, Test Recall: 0.9455, Test F1 Score: 0.9341, Test AUC-ROC: 0.9638

Epoch 32/100, Train Loss: 0.2122, Test Loss: 0.2311, Train Accuracy: 0.9327, Train Precision: 0.9345, Train Recall: 0.9316, Train F1 Score: 0.9331, Train AUC-ROC: 0.9715, Test Accuracy: 0.9226, Test Precision: 0.9467, Test Recall: 0.9091, Test F1 Score: 0.9275, Test AUC-ROC: 0.9690

Epoch 33/100, Train Loss: 0.2118, Test Loss: 0.2492, Train Accuracy: 0.9280, Train Precision: 0.9337, Train Recall: 0.9238, Train F1 Score: 0.9287, Train AUC-ROC: 0.9719, Test Accuracy: 0.9350, Test Precision: 0.9112, Test Recall: 0.9625, Test F1 Score: 0.9362, Test AUC-ROC: 0.9633

Epoch 34/100, Train Loss: 0.2130, Test Loss: 0.2742, Train Accuracy: 0.9319, Train Precision: 0.9337, Train Recall: 0.9309, Train F1 Score: 0.9323, Train AUC-ROC: 0.9715, Test Accuracy: 0.9226, Test Precision: 0.8817, Test Recall: 0.9675, Test F1 Score: 0.9226, Test AUC-ROC: 0.9619

Epoch 35/100, Train Loss: 0.2065, Test Loss: 0.2297, Train Accuracy: 0.9342, Train Precision: 0.9345, Train Recall: 0.9345, Train F1 Score: 0.9345, Train AUC-ROC: 0.9727, Test Accuracy: 0.9288, Test Precision: 0.9349, Test Recall: 0.9294, Test F1 Score: 0.9322, Test AUC-ROC: 0.9642

Epoch 36/100, Train Loss: 0.2061, Test Loss: 0.2485, Train Accuracy: 0.9288, Train Precision: 0.9307, Train Recall: 0.9278, Train F1 Score: 0.9292, Train AUC-ROC: 0.9730, Test Accuracy: 0.9288, Test Precision: 0.8876, Test Recall: 0.9740, Test F1 Score: 0.9288, Test AUC-ROC: 0.9652

