Epoch 1/100, Train Loss: 0.5199, Test Loss: 0.3745, Train Accuracy: 0.7454, Train Precision: 0.7350, Train Recall: 0.7524, Train F1 Score: 0.7436, Train AUC-ROC: 0.8287, Test Accuracy: 0.8607, Test Precision: 0.8225, Test Recall: 0.9026, Test F1 Score: 0.8607, Test AUC-ROC: 0.9231
Epoch 79/100, Train Loss: 0.1801, Test Loss: 0.2307, Train Accuracy: 0.9400, Train Precision: 0.9484, Train Recall: 0.9333, Train F1 Score: 0.9408, Train AUC-ROC: 0.9789, Test Accuracy: 0.9257, Test Precision: 0.8935, Test Recall: 0.9618, Test F1 Score: 0.9264, Test AUC-ROC: 0.9713

Epoch 80/100, Train Loss: 0.1788, Test Loss: 0.2217, Train Accuracy: 0.9462, Train Precision: 0.9507, Train Recall: 0.9427, Train F1 Score: 0.9467, Train AUC-ROC: 0.9793, Test Accuracy: 0.9350, Test Precision: 0.9467, Test Recall: 0.9302, Test F1 Score: 0.9384, Test AUC-ROC: 0.9708

Epoch 81/100, Train Loss: 0.1799, Test Loss: 0.2380, Train Accuracy: 0.9435, Train Precision: 0.9515, Train Recall: 0.9370, Train F1 Score: 0.9442, Train AUC-ROC: 0.9785, Test Accuracy: 0.9257, Test Precision: 0.9112, Test Recall: 0.9448, Test F1 Score: 0.9277, Test AUC-ROC: 0.9680

Epoch 82/100, Train Loss: 0.1779, Test Loss: 0.2156, Train Accuracy: 0.9439, Train Precision: 0.9515, Train Recall: 0.9377, Train F1 Score: 0.9446, Train AUC-ROC: 0.9793, Test Accuracy: 0.9350, Test Precision: 0.9290, Test Recall: 0.9458, Test F1 Score: 0.9373, Test AUC-ROC: 0.9699

Epoch 83/100, Train Loss: 0.1789, Test Loss: 0.2055, Train Accuracy: 0.9416, Train Precision: 0.9453, Train Recall: 0.9388, Train F1 Score: 0.9420, Train AUC-ROC: 0.9790, Test Accuracy: 0.9381, Test Precision: 0.9467, Test Recall: 0.9357, Test F1 Score: 0.9412, Test AUC-ROC: 0.9731

Epoch 84/100, Train Loss: 0.1858, Test Loss: 0.2186, Train Accuracy: 0.9447, Train Precision: 0.9499, Train Recall: 0.9405, Train F1 Score: 0.9452, Train AUC-ROC: 0.9773, Test Accuracy: 0.9412, Test Precision: 0.9527, Test Recall: 0.9360, Test F1 Score: 0.9443, Test AUC-ROC: 0.9710

Epoch 85/100, Train Loss: 0.1790, Test Loss: 0.2193, Train Accuracy: 0.9408, Train Precision: 0.9453, Train Recall: 0.9374, Train F1 Score: 0.9413, Train AUC-ROC: 0.9793, Test Accuracy: 0.9319, Test Precision: 0.9408, Test Recall: 0.9298, Test F1 Score: 0.9353, Test AUC-ROC: 0.9702

Epoch 86/100, Train Loss: 0.1769, Test Loss: 0.2202, Train Accuracy: 0.9443, Train Precision: 0.9468, Train Recall: 0.9425, Train F1 Score: 0.9447, Train AUC-ROC: 0.9789, Test Accuracy: 0.9412, Test Precision: 0.9586, Test Recall: 0.9310, Test F1 Score: 0.9446, Test AUC-ROC: 0.9718

Epoch 87/100, Train Loss: 0.1841, Test Loss: 0.2202, Train Accuracy: 0.9447, Train Precision: 0.9522, Train Recall: 0.9385, Train F1 Score: 0.9453, Train AUC-ROC: 0.9784, Test Accuracy: 0.9412, Test Precision: 0.9408, Test Recall: 0.9464, Test F1 Score: 0.9436, Test AUC-ROC: 0.9711

Epoch 88/100, Train Loss: 0.1775, Test Loss: 0.2492, Train Accuracy: 0.9400, Train Precision: 0.9438, Train Recall: 0.9373, Train F1 Score: 0.9405, Train AUC-ROC: 0.9792, Test Accuracy: 0.9257, Test Precision: 0.9053, Test Recall: 0.9503, Test F1 Score: 0.9273, Test AUC-ROC: 0.9668

Epoch 89/100, Train Loss: 0.1793, Test Loss: 0.2713, Train Accuracy: 0.9342, Train Precision: 0.9345, Train Recall: 0.9345, Train F1 Score: 0.9345, Train AUC-ROC: 0.9791, Test Accuracy: 0.9226, Test Precision: 0.8935, Test Recall: 0.9557, Test F1 Score: 0.9235, Test AUC-ROC: 0.9647

Epoch 90/100, Train Loss: 0.1741, Test Loss: 0.2193, Train Accuracy: 0.9427, Train Precision: 0.9445, Train Recall: 0.9416, Train F1 Score: 0.9431, Train AUC-ROC: 0.9796, Test Accuracy: 0.9412, Test Precision: 0.9290, Test Recall: 0.9573, Test F1 Score: 0.9429, Test AUC-ROC: 0.9716

Epoch 91/100, Train Loss: 0.1838, Test Loss: 0.2364, Train Accuracy: 0.9385, Train Precision: 0.9430, Train Recall: 0.9351, Train F1 Score: 0.9390, Train AUC-ROC: 0.9779, Test Accuracy: 0.9350, Test Precision: 0.9172, Test Recall: 0.9568, Test F1 Score: 0.9366, Test AUC-ROC: 0.9696

Epoch 92/100, Train Loss: 0.1826, Test Loss: 0.2824, Train Accuracy: 0.9427, Train Precision: 0.9499, Train Recall: 0.9369, Train F1 Score: 0.9434, Train AUC-ROC: 0.9788, Test Accuracy: 0.9319, Test Precision: 0.9053, Test Recall: 0.9623, Test F1 Score: 0.9329, Test AUC-ROC: 0.9628

Epoch 93/100, Train Loss: 0.1792, Test Loss: 0.2439, Train Accuracy: 0.9450, Train Precision: 0.9445, Train Recall: 0.9460, Train F1 Score: 0.9453, Train AUC-ROC: 0.9782, Test Accuracy: 0.9443, Test Precision: 0.9349, Test Recall: 0.9576, Test F1 Score: 0.9461, Test AUC-ROC: 0.9654

Epoch 94/100, Train Loss: 0.1848, Test Loss: 0.2670, Train Accuracy: 0.9396, Train Precision: 0.9422, Train Recall: 0.9379, Train F1 Score: 0.9400, Train AUC-ROC: 0.9777, Test Accuracy: 0.9319, Test Precision: 0.9172, Test Recall: 0.9509, Test F1 Score: 0.9337, Test AUC-ROC: 0.9613

Epoch 95/100, Train Loss: 0.1753, Test Loss: 0.2177, Train Accuracy: 0.9435, Train Precision: 0.9438, Train Recall: 0.9438, Train F1 Score: 0.9438, Train AUC-ROC: 0.9798, Test Accuracy: 0.9381, Test Precision: 0.9408, Test Recall: 0.9408, Test F1 Score: 0.9408, Test AUC-ROC: 0.9701

Epoch 96/100, Train Loss: 0.1754, Test Loss: 0.2055, Train Accuracy: 0.9470, Train Precision: 0.9492, Train Recall: 0.9455, Train F1 Score: 0.9473, Train AUC-ROC: 0.9791, Test Accuracy: 0.9474, Test Precision: 0.9645, Test Recall: 0.9368, Test F1 Score: 0.9504, Test AUC-ROC: 0.9723

Epoch 97/100, Train Loss: 0.1717, Test Loss: 0.2295, Train Accuracy: 0.9466, Train Precision: 0.9499, Train Recall: 0.9441, Train F1 Score: 0.9470, Train AUC-ROC: 0.9809, Test Accuracy: 0.9350, Test Precision: 0.9172, Test Recall: 0.9568, Test F1 Score: 0.9366, Test AUC-ROC: 0.9711

Epoch 98/100, Train Loss: 0.1819, Test Loss: 0.2760, Train Accuracy: 0.9392, Train Precision: 0.9438, Train Recall: 0.9358, Train F1 Score: 0.9398, Train AUC-ROC: 0.9787, Test Accuracy: 0.9288, Test Precision: 0.9231, Test Recall: 0.9398, Test F1 Score: 0.9313, Test AUC-ROC: 0.9603

Epoch 99/100, Train Loss: 0.1815, Test Loss: 0.2179, Train Accuracy: 0.9478, Train Precision: 0.9522, Train Recall: 0.9442, Train F1 Score: 0.9482, Train AUC-ROC: 0.9781, Test Accuracy: 0.9443, Test Precision: 0.9408, Test Recall: 0.9521, Test F1 Score: 0.9464, Test AUC-ROC: 0.9701

Epoch 100/100, Train Loss: 0.1823, Test Loss: 0.2107, Train Accuracy: 0.9439, Train Precision: 0.9468, Train Recall: 0.9418, Train F1 Score: 0.9443, Train AUC-ROC: 0.9784, Test Accuracy: 0.9443, Test Precision: 0.9349, Test Recall: 0.9576, Test F1 Score: 0.9461, Test AUC-ROC: 0.9727
