Epoch 1/100, Train Loss: 840.8454, Train Accuracy: 56.3636, Train AUC-ROC: 0.5394, Train F1 Score: 0.2767 , Train Precision: 0.6433, Train Recall: 0.1763
Epoch 2/100, Train Loss: 842.7550, Train Accuracy: 53.3058, Train AUC-ROC: 0.5241, Train F1 Score: 0.1426 , Train Precision: 0.5465, Train Recall: 0.0820
Epoch 3/100, Train Loss: 838.3308, Train Accuracy: 52.6446, Train AUC-ROC: 0.5305, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 4/100, Train Loss: 838.9428, Train Accuracy: 52.6446, Train AUC-ROC: 0.5140, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 5/100, Train Loss: 841.2484, Train Accuracy: 52.6446, Train AUC-ROC: 0.4848, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 6/100, Train Loss: 826.5659, Train Accuracy: 52.6446, Train AUC-ROC: 0.5575, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 7/100, Train Loss: 841.4088, Train Accuracy: 52.6446, Train AUC-ROC: 0.5256, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 8/100, Train Loss: 837.1110, Train Accuracy: 52.6446, Train AUC-ROC: 0.5223, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 9/100, Train Loss: 836.7402, Train Accuracy: 52.3967, Train AUC-ROC: 0.5315, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 10/100, Train Loss: 833.7062, Train Accuracy: 52.6446, Train AUC-ROC: 0.5449, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 11/100, Train Loss: 837.6310, Train Accuracy: 52.6446, Train AUC-ROC: 0.5253, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 12/100, Train Loss: 836.6089, Train Accuracy: 52.6446, Train AUC-ROC: 0.5162, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 13/100, Train Loss: 827.4985, Train Accuracy: 52.6446, Train AUC-ROC: 0.5566, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 14/100, Train Loss: 814.1929, Train Accuracy: 52.6446, Train AUC-ROC: 0.6146, Train F1 Score: 0.0239 , Train Precision: 0.5000, Train Recall: 0.0122
Epoch 15/100, Train Loss: 810.5606, Train Accuracy: 54.1322, Train AUC-ROC: 0.6127, Train F1 Score: 0.1448 , Train Precision: 0.6184, Train Recall: 0.0820
Epoch 16/100, Train Loss: 835.5196, Train Accuracy: 52.4793, Train AUC-ROC: 0.5380, Train F1 Score: 0.0035 , Train Precision: 0.2500, Train Recall: 0.0017
Epoch 17/100, Train Loss: 820.3613, Train Accuracy: 54.6281, Train AUC-ROC: 0.5850, Train F1 Score: 0.2490 , Train Precision: 0.5759, Train Recall: 0.1588
Epoch 18/100, Train Loss: 838.7767, Train Accuracy: 53.3884, Train AUC-ROC: 0.5320, Train F1 Score: 0.1215 , Train Precision: 0.5652, Train Recall: 0.0681
Epoch 19/100, Train Loss: 844.8711, Train Accuracy: 52.4793, Train AUC-ROC: 0.5043, Train F1 Score: 0.0336 , Train Precision: 0.4545, Train Recall: 0.0175
Epoch 20/100, Train Loss: 820.4807, Train Accuracy: 52.6446, Train AUC-ROC: 0.5908, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 21/100, Train Loss: 815.1357, Train Accuracy: 52.5620, Train AUC-ROC: 0.6071, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 22/100, Train Loss: 813.6294, Train Accuracy: 53.1405, Train AUC-ROC: 0.6033, Train F1 Score: 0.0406 , Train Precision: 0.6667, Train Recall: 0.0209
Epoch 23/100, Train Loss: 813.0706, Train Accuracy: 56.7769, Train AUC-ROC: 0.6084, Train F1 Score: 0.2623 , Train Precision: 0.6838, Train Recall: 0.1623
Epoch 24/100, Train Loss: 842.0245, Train Accuracy: 52.1488, Train AUC-ROC: 0.5346, Train F1 Score: 0.0269 , Train Precision: 0.3636, Train Recall: 0.0140
Epoch 25/100, Train Loss: 821.0106, Train Accuracy: 52.8099, Train AUC-ROC: 0.5914, Train F1 Score: 0.0070 , Train Precision: 1.0000, Train Recall: 0.0035
Epoch 26/100, Train Loss: 796.1257, Train Accuracy: 57.2727, Train AUC-ROC: 0.6450, Train F1 Score: 0.3188 , Train Precision: 0.6505, Train Recall: 0.2112
Epoch 27/100, Train Loss: 785.1377, Train Accuracy: 61.8182, Train AUC-ROC: 0.6514, Train F1 Score: 0.5198 , Train Precision: 0.6427, Train Recall: 0.4363
Epoch 28/100, Train Loss: 832.2628, Train Accuracy: 55.4545, Train AUC-ROC: 0.5737, Train F1 Score: 0.3009 , Train Precision: 0.5859, Train Recall: 0.2024
Epoch 29/100, Train Loss: 834.0394, Train Accuracy: 52.6446, Train AUC-ROC: 0.5287, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 30/100, Train Loss: 840.0990, Train Accuracy: 52.6446, Train AUC-ROC: 0.4918, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 31/100, Train Loss: 840.6327, Train Accuracy: 52.6446, Train AUC-ROC: 0.4905, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 32/100, Train Loss: 839.8910, Train Accuracy: 52.6446, Train AUC-ROC: 0.4833, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 33/100, Train Loss: 839.7806, Train Accuracy: 52.6446, Train AUC-ROC: 0.4824, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 34/100, Train Loss: 839.5577, Train Accuracy: 52.6446, Train AUC-ROC: 0.4831, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 35/100, Train Loss: 839.5770, Train Accuracy: 52.6446, Train AUC-ROC: 0.4824, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 36/100, Train Loss: 841.4047, Train Accuracy: 52.6446, Train AUC-ROC: 0.4914, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 37/100, Train Loss: 839.4639, Train Accuracy: 52.6446, Train AUC-ROC: 0.4925, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 38/100, Train Loss: 839.2880, Train Accuracy: 52.6446, Train AUC-ROC: 0.4905, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 39/100, Train Loss: 839.1058, Train Accuracy: 52.6446, Train AUC-ROC: 0.4884, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 40/100, Train Loss: 838.8825, Train Accuracy: 52.6446, Train AUC-ROC: 0.4914, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 41/100, Train Loss: 839.4582, Train Accuracy: 52.6446, Train AUC-ROC: 0.4812, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 42/100, Train Loss: 838.6326, Train Accuracy: 52.6446, Train AUC-ROC: 0.4882, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 43/100, Train Loss: 838.0115, Train Accuracy: 52.6446, Train AUC-ROC: 0.4985, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 44/100, Train Loss: 844.3408, Train Accuracy: 52.1488, Train AUC-ROC: 0.4715, Train F1 Score: 0.0170 , Train Precision: 0.3125, Train Recall: 0.0087
Epoch 45/100, Train Loss: 839.2770, Train Accuracy: 52.6446, Train AUC-ROC: 0.4730, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 46/100, Train Loss: 839.2816, Train Accuracy: 52.6446, Train AUC-ROC: 0.4712, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 47/100, Train Loss: 838.0016, Train Accuracy: 52.6446, Train AUC-ROC: 0.4807, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 48/100, Train Loss: 838.6994, Train Accuracy: 52.6446, Train AUC-ROC: 0.4712, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 49/100, Train Loss: 837.7385, Train Accuracy: 52.6446, Train AUC-ROC: 0.4935, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 50/100, Train Loss: 838.0620, Train Accuracy: 52.6446, Train AUC-ROC: 0.5058, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 51/100, Train Loss: 839.4140, Train Accuracy: 52.6446, Train AUC-ROC: 0.4866, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 52/100, Train Loss: 838.5470, Train Accuracy: 52.6446, Train AUC-ROC: 0.4827, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 53/100, Train Loss: 838.6216, Train Accuracy: 52.6446, Train AUC-ROC: 0.4793, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 54/100, Train Loss: 838.4542, Train Accuracy: 52.6446, Train AUC-ROC: 0.4727, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 55/100, Train Loss: 839.8063, Train Accuracy: 52.6446, Train AUC-ROC: 0.4788, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
