Epoch 1/100, Train Loss: 836.8816, Train Accuracy: 55.9504, Train AUC-ROC: 0.5789, Train F1 Score: 0.3051 , Train Precision: 0.6031, Train Recall: 0.2042
Epoch 2/100, Train Loss: 833.1296, Train Accuracy: 52.6446, Train AUC-ROC: 0.5502, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 3/100, Train Loss: 809.4342, Train Accuracy: 52.7273, Train AUC-ROC: 0.6255, Train F1 Score: 0.0498 , Train Precision: 0.5172, Train Recall: 0.0262
Epoch 4/100, Train Loss: 775.9268, Train Accuracy: 55.0413, Train AUC-ROC: 0.6837, Train F1 Score: 0.1500 , Train Precision: 0.7164, Train Recall: 0.0838
Epoch 5/100, Train Loss: 737.9380, Train Accuracy: 68.6777, Train AUC-ROC: 0.7224, Train F1 Score: 0.6199 , Train Precision: 0.7288, Train Recall: 0.5393
Epoch 6/100, Train Loss: 687.5624, Train Accuracy: 72.7273, Train AUC-ROC: 0.7671, Train F1 Score: 0.6802 , Train Precision: 0.7647, Train Recall: 0.6126
Epoch 7/100, Train Loss: 684.0475, Train Accuracy: 72.3967, Train AUC-ROC: 0.7701, Train F1 Score: 0.6764 , Train Precision: 0.7603, Train Recall: 0.6091
Epoch 8/100, Train Loss: 656.6345, Train Accuracy: 74.9587, Train AUC-ROC: 0.7905, Train F1 Score: 0.7213 , Train Precision: 0.7626, Train Recall: 0.6841
Epoch 9/100, Train Loss: 656.1229, Train Accuracy: 75.7851, Train AUC-ROC: 0.7866, Train F1 Score: 0.7295 , Train Precision: 0.7745, Train Recall: 0.6894
Epoch 10/100, Train Loss: 622.6762, Train Accuracy: 77.6860, Train AUC-ROC: 0.8101, Train F1 Score: 0.7559 , Train Precision: 0.7842, Train Recall: 0.7295
Epoch 11/100, Train Loss: 605.5812, Train Accuracy: 78.1818, Train AUC-ROC: 0.8242, Train F1 Score: 0.7556 , Train Precision: 0.8047, Train Recall: 0.7120
Epoch 12/100, Train Loss: 614.1782, Train Accuracy: 76.6942, Train AUC-ROC: 0.8181, Train F1 Score: 0.7278 , Train Precision: 0.8143, Train Recall: 0.6579
Epoch 13/100, Train Loss: 586.0455, Train Accuracy: 78.7603, Train AUC-ROC: 0.8366, Train F1 Score: 0.7587 , Train Precision: 0.8211, Train Recall: 0.7051
Epoch 14/100, Train Loss: 593.2575, Train Accuracy: 78.5124, Train AUC-ROC: 0.8352, Train F1 Score: 0.7533 , Train Precision: 0.8254, Train Recall: 0.6928
Epoch 15/100, Train Loss: 562.5288, Train Accuracy: 80.0826, Train AUC-ROC: 0.8548, Train F1 Score: 0.7733 , Train Precision: 0.8388, Train Recall: 0.7173
Epoch 16/100, Train Loss: 540.6685, Train Accuracy: 81.4876, Train AUC-ROC: 0.8698, Train F1 Score: 0.7930 , Train Precision: 0.8428, Train Recall: 0.7487
Epoch 17/100, Train Loss: 538.3774, Train Accuracy: 81.5702, Train AUC-ROC: 0.8693, Train F1 Score: 0.7956 , Train Precision: 0.8378, Train Recall: 0.7574
Epoch 18/100, Train Loss: 533.1886, Train Accuracy: 82.6446, Train AUC-ROC: 0.8641, Train F1 Score: 0.8063 , Train Precision: 0.8552, Train Recall: 0.7627
Epoch 19/100, Train Loss: 547.5229, Train Accuracy: 81.9008, Train AUC-ROC: 0.8559, Train F1 Score: 0.7982 , Train Precision: 0.8457, Train Recall: 0.7557
Epoch 20/100, Train Loss: 599.3516, Train Accuracy: 78.9256, Train AUC-ROC: 0.8319, Train F1 Score: 0.7654 , Train Precision: 0.8093, Train Recall: 0.7260
Epoch 21/100, Train Loss: 571.9069, Train Accuracy: 80.5785, Train AUC-ROC: 0.8468, Train F1 Score: 0.7854 , Train Precision: 0.8238, Train Recall: 0.7504
Epoch 22/100, Train Loss: 572.4275, Train Accuracy: 78.6777, Train AUC-ROC: 0.8494, Train F1 Score: 0.7505 , Train Precision: 0.8416, Train Recall: 0.6771
Epoch 23/100, Train Loss: 536.4073, Train Accuracy: 81.4050, Train AUC-ROC: 0.8680, Train F1 Score: 0.7934 , Train Precision: 0.8372, Train Recall: 0.7539
Epoch 24/100, Train Loss: 511.3856, Train Accuracy: 82.7273, Train AUC-ROC: 0.8791, Train F1 Score: 0.8109 , Train Precision: 0.8421, Train Recall: 0.7818
Epoch 25/100, Train Loss: 549.0380, Train Accuracy: 80.1653, Train AUC-ROC: 0.8626, Train F1 Score: 0.7719 , Train Precision: 0.8476, Train Recall: 0.7086
Epoch 26/100, Train Loss: 540.8074, Train Accuracy: 81.9835, Train AUC-ROC: 0.8656, Train F1 Score: 0.8018 , Train Precision: 0.8368, Train Recall: 0.7696
Epoch 27/100, Train Loss: 510.4397, Train Accuracy: 82.3140, Train AUC-ROC: 0.8802, Train F1 Score: 0.8022 , Train Precision: 0.8527, Train Recall: 0.7574
Epoch 28/100, Train Loss: 526.3397, Train Accuracy: 82.0661, Train AUC-ROC: 0.8736, Train F1 Score: 0.8022 , Train Precision: 0.8397, Train Recall: 0.7679
Epoch 29/100, Train Loss: 524.5580, Train Accuracy: 81.9008, Train AUC-ROC: 0.8758, Train F1 Score: 0.8018 , Train Precision: 0.8327, Train Recall: 0.7731
Epoch 30/100, Train Loss: 538.8571, Train Accuracy: 82.3967, Train AUC-ROC: 0.8650, Train F1 Score: 0.8086 , Train Precision: 0.8333, Train Recall: 0.7853
Epoch 31/100, Train Loss: 500.3205, Train Accuracy: 83.6364, Train AUC-ROC: 0.8794, Train F1 Score: 0.8190 , Train Precision: 0.8599, Train Recall: 0.7818
Epoch 32/100, Train Loss: 519.4182, Train Accuracy: 82.5620, Train AUC-ROC: 0.8714, Train F1 Score: 0.8055 , Train Precision: 0.8535, Train Recall: 0.7627
Epoch 33/100, Train Loss: 499.5968, Train Accuracy: 83.7190, Train AUC-ROC: 0.8838, Train F1 Score: 0.8188 , Train Precision: 0.8658, Train Recall: 0.7766
Epoch 34/100, Train Loss: 505.8108, Train Accuracy: 83.3058, Train AUC-ROC: 0.8829, Train F1 Score: 0.8177 , Train Precision: 0.8467, Train Recall: 0.7906
Epoch 35/100, Train Loss: 503.7812, Train Accuracy: 83.1405, Train AUC-ROC: 0.8828, Train F1 Score: 0.8122 , Train Precision: 0.8596, Train Recall: 0.7696
Epoch 36/100, Train Loss: 474.3036, Train Accuracy: 84.4628, Train AUC-ROC: 0.8950, Train F1 Score: 0.8297 , Train Precision: 0.8625, Train Recall: 0.7993
Epoch 37/100, Train Loss: 466.2788, Train Accuracy: 84.4628, Train AUC-ROC: 0.8953, Train F1 Score: 0.8282 , Train Precision: 0.8695, Train Recall: 0.7906
Epoch 38/100, Train Loss: 486.5156, Train Accuracy: 83.9669, Train AUC-ROC: 0.8850, Train F1 Score: 0.8187 , Train Precision: 0.8813, Train Recall: 0.7644
Epoch 39/100, Train Loss: 480.7135, Train Accuracy: 84.7934, Train AUC-ROC: 0.8879, Train F1 Score: 0.8336 , Train Precision: 0.8649, Train Recall: 0.8045
Epoch 40/100, Train Loss: 485.2324, Train Accuracy: 84.6281, Train AUC-ROC: 0.8851, Train F1 Score: 0.8339 , Train Precision: 0.8537, Train Recall: 0.8150
Epoch 41/100, Train Loss: 479.8219, Train Accuracy: 85.8678, Train AUC-ROC: 0.8847, Train F1 Score: 0.8466 , Train Precision: 0.8708, Train Recall: 0.8237
Epoch 42/100, Train Loss: 470.4895, Train Accuracy: 85.7025, Train AUC-ROC: 0.8906, Train F1 Score: 0.8434 , Train Precision: 0.8759, Train Recall: 0.8133
Epoch 43/100, Train Loss: 468.3679, Train Accuracy: 85.2893, Train AUC-ROC: 0.8897, Train F1 Score: 0.8402 , Train Precision: 0.8651, Train Recall: 0.8168
Epoch 44/100, Train Loss: 466.0975, Train Accuracy: 85.6198, Train AUC-ROC: 0.8977, Train F1 Score: 0.8441 , Train Precision: 0.8674, Train Recall: 0.8220
Epoch 45/100, Train Loss: 474.1039, Train Accuracy: 85.2066, Train AUC-ROC: 0.8919, Train F1 Score: 0.8412 , Train Precision: 0.8556, Train Recall: 0.8272
Epoch 46/100, Train Loss: 464.0958, Train Accuracy: 85.8678, Train AUC-ROC: 0.8968, Train F1 Score: 0.8472 , Train Precision: 0.8681, Train Recall: 0.8272
Epoch 47/100, Train Loss: 468.8651, Train Accuracy: 85.1240, Train AUC-ROC: 0.8954, Train F1 Score: 0.8387 , Train Precision: 0.8619, Train Recall: 0.8168
Epoch 48/100, Train Loss: 457.9192, Train Accuracy: 85.8678, Train AUC-ROC: 0.8973, Train F1 Score: 0.8512 , Train Precision: 0.8490, Train Recall: 0.8534
Epoch 49/100, Train Loss: 494.9470, Train Accuracy: 84.0496, Train AUC-ROC: 0.8915, Train F1 Score: 0.8323 , Train Precision: 0.8287, Train Recall: 0.8360
Epoch 50/100, Train Loss: 467.6214, Train Accuracy: 83.8843, Train AUC-ROC: 0.8996, Train F1 Score: 0.8216 , Train Precision: 0.8635, Train Recall: 0.7836
Epoch 51/100, Train Loss: 476.4492, Train Accuracy: 83.8843, Train AUC-ROC: 0.8934, Train F1 Score: 0.8226 , Train Precision: 0.8593, Train Recall: 0.7888
Epoch 52/100, Train Loss: 443.9028, Train Accuracy: 86.0331, Train AUC-ROC: 0.9039, Train F1 Score: 0.8514 , Train Precision: 0.8582, Train Recall: 0.8447
Epoch 53/100, Train Loss: 447.0161, Train Accuracy: 86.5289, Train AUC-ROC: 0.9048, Train F1 Score: 0.8554 , Train Precision: 0.8700, Train Recall: 0.8412
Epoch 54/100, Train Loss: 436.0682, Train Accuracy: 85.9504, Train AUC-ROC: 0.9095, Train F1 Score: 0.8440 , Train Precision: 0.8897, Train Recall: 0.8028
Epoch 55/100, Train Loss: 429.5533, Train Accuracy: 86.4463, Train AUC-ROC: 0.9112, Train F1 Score: 0.8544 , Train Precision: 0.8698, Train Recall: 0.8394
Epoch 56/100, Train Loss: 436.8368, Train Accuracy: 86.5289, Train AUC-ROC: 0.9062, Train F1 Score: 0.8559 , Train Precision: 0.8674, Train Recall: 0.8447
Epoch 57/100, Train Loss: 440.4169, Train Accuracy: 86.4463, Train AUC-ROC: 0.9061, Train F1 Score: 0.8566 , Train Precision: 0.8581, Train Recall: 0.8551
Epoch 58/100, Train Loss: 423.7316, Train Accuracy: 87.3554, Train AUC-ROC: 0.9136, Train F1 Score: 0.8638 , Train Precision: 0.8818, Train Recall: 0.8464
Epoch 59/100, Train Loss: 424.7924, Train Accuracy: 86.7769, Train AUC-ROC: 0.9095, Train F1 Score: 0.8551 , Train Precision: 0.8889, Train Recall: 0.8237
