Epoch 1/100, Train Loss: 1630.7313, Train Accuracy: 56.7769, Train AUC-ROC: 0.5685, Train F1 Score: 0.3405 , Train Precision: 0.6136, Train Recall: 0.2356
Epoch 2/100, Train Loss: 1420.0440, Train Accuracy: 53.3884, Train AUC-ROC: 0.5274, Train F1 Score: 0.0903 , Train Precision: 0.5957, Train Recall: 0.0489
Epoch 3/100, Train Loss: 1393.5057, Train Accuracy: 52.5620, Train AUC-ROC: 0.5428, Train F1 Score: 0.0035 , Train Precision: 0.3333, Train Recall: 0.0017
Epoch 4/100, Train Loss: 1382.8974, Train Accuracy: 54.1322, Train AUC-ROC: 0.5780, Train F1 Score: 0.1395 , Train Precision: 0.6250, Train Recall: 0.0785
Epoch 5/100, Train Loss: 1357.6001, Train Accuracy: 54.1322, Train AUC-ROC: 0.6083, Train F1 Score: 0.1898 , Train Precision: 0.5804, Train Recall: 0.1134
Epoch 6/100, Train Loss: 1350.5373, Train Accuracy: 57.8512, Train AUC-ROC: 0.6320, Train F1 Score: 0.3342 , Train Precision: 0.6632, Train Recall: 0.2234
Epoch 7/100, Train Loss: 1318.2012, Train Accuracy: 59.9174, Train AUC-ROC: 0.6695, Train F1 Score: 0.3915 , Train Precision: 0.6964, Train Recall: 0.2723
Epoch 8/100, Train Loss: 1282.5563, Train Accuracy: 64.9587, Train AUC-ROC: 0.7156, Train F1 Score: 0.5351 , Train Precision: 0.7198, Train Recall: 0.4258
Epoch 9/100, Train Loss: 1304.0845, Train Accuracy: 64.7934, Train AUC-ROC: 0.7316, Train F1 Score: 0.5192 , Train Precision: 0.7348, Train Recall: 0.4014
Epoch 10/100, Train Loss: 1217.3605, Train Accuracy: 69.2562, Train AUC-ROC: 0.7843, Train F1 Score: 0.6149 , Train Precision: 0.7557, Train Recall: 0.5183
Epoch 11/100, Train Loss: 1187.7637, Train Accuracy: 70.7438, Train AUC-ROC: 0.8010, Train F1 Score: 0.6424 , Train Precision: 0.7626, Train Recall: 0.5550
Epoch 12/100, Train Loss: 1174.6139, Train Accuracy: 70.5785, Train AUC-ROC: 0.8125, Train F1 Score: 0.6475 , Train Precision: 0.7483, Train Recall: 0.5707
Epoch 13/100, Train Loss: 1147.0465, Train Accuracy: 73.0579, Train AUC-ROC: 0.8293, Train F1 Score: 0.6829 , Train Precision: 0.7714, Train Recall: 0.6126
Epoch 14/100, Train Loss: 1126.8509, Train Accuracy: 73.6364, Train AUC-ROC: 0.8379, Train F1 Score: 0.6857 , Train Precision: 0.7873, Train Recall: 0.6073
Epoch 15/100, Train Loss: 1105.1214, Train Accuracy: 75.4545, Train AUC-ROC: 0.8552, Train F1 Score: 0.7102 , Train Precision: 0.8053, Train Recall: 0.6353
Epoch 16/100, Train Loss: 1093.3307, Train Accuracy: 76.2810, Train AUC-ROC: 0.8590, Train F1 Score: 0.7243 , Train Precision: 0.8056, Train Recall: 0.6579
Epoch 17/100, Train Loss: 1099.7817, Train Accuracy: 77.1074, Train AUC-ROC: 0.8647, Train F1 Score: 0.7374 , Train Precision: 0.8071, Train Recall: 0.6789
Epoch 18/100, Train Loss: 1067.9751, Train Accuracy: 78.3471, Train AUC-ROC: 0.8761, Train F1 Score: 0.7528 , Train Precision: 0.8193, Train Recall: 0.6963
Epoch 19/100, Train Loss: 1038.4103, Train Accuracy: 78.6777, Train AUC-ROC: 0.8886, Train F1 Score: 0.7543 , Train Precision: 0.8302, Train Recall: 0.6911
Epoch 20/100, Train Loss: 1007.1791, Train Accuracy: 81.8182, Train AUC-ROC: 0.9049, Train F1 Score: 0.7959 , Train Precision: 0.8495, Train Recall: 0.7487
Epoch 21/100, Train Loss: 988.4650, Train Accuracy: 81.8182, Train AUC-ROC: 0.9100, Train F1 Score: 0.7963 , Train Precision: 0.8481, Train Recall: 0.7504
Epoch 22/100, Train Loss: 966.4568, Train Accuracy: 84.2149, Train AUC-ROC: 0.9200, Train F1 Score: 0.8268 , Train Precision: 0.8604, Train Recall: 0.7958
Epoch 23/100, Train Loss: 930.1254, Train Accuracy: 85.8678, Train AUC-ROC: 0.9338, Train F1 Score: 0.8452 , Train Precision: 0.8778, Train Recall: 0.8150
