Epoch 1/100, Train Loss: 155161.8165, Train Accuracy: 76.7541, Train AUC-ROC: 0.6609, Train F1 Score: 0.8665 , Train Precision: 0.7770, Train Recall: 0.9794
Epoch 2/100, Train Loss: 158621.6197, Train Accuracy: 78.8896, Train AUC-ROC: 0.7744, Train F1 Score: 0.8700 , Train Precision: 0.8277, Train Recall: 0.9169
Epoch 3/100, Train Loss: 158039.5758, Train Accuracy: 80.3539, Train AUC-ROC: 0.8303, Train F1 Score: 0.8728 , Train Precision: 0.8708, Train Recall: 0.8749
Epoch 4/100, Train Loss: 156635.7162, Train Accuracy: 80.3539, Train AUC-ROC: 0.8496, Train F1 Score: 0.8707 , Train Precision: 0.8835, Train Recall: 0.8583
Epoch 5/100, Train Loss: 155554.0141, Train Accuracy: 80.8420, Train AUC-ROC: 0.8567, Train F1 Score: 0.8739 , Train Precision: 0.8867, Train Recall: 0.8614
Epoch 6/100, Train Loss: 136697.4539, Train Accuracy: 80.7810, Train AUC-ROC: 0.8596, Train F1 Score: 0.8737 , Train Precision: 0.8847, Train Recall: 0.8630
Epoch 7/100, Train Loss: 130121.8281, Train Accuracy: 80.9640, Train AUC-ROC: 0.8651, Train F1 Score: 0.8743 , Train Precision: 0.8901, Train Recall: 0.8591
Epoch 8/100, Train Loss: 129919.0903, Train Accuracy: 81.3301, Train AUC-ROC: 0.8690, Train F1 Score: 0.8766 , Train Precision: 0.8932, Train Recall: 0.8606
Epoch 9/100, Train Loss: 126874.2321, Train Accuracy: 81.5131, Train AUC-ROC: 0.8713, Train F1 Score: 0.8775 , Train Precision: 0.8967, Train Recall: 0.8591
Epoch 10/100, Train Loss: 126016.4320, Train Accuracy: 81.0860, Train AUC-ROC: 0.8702, Train F1 Score: 0.8750 , Train Precision: 0.8915, Train Recall: 0.8591
Epoch 11/100, Train Loss: 125563.1839, Train Accuracy: 81.7572, Train AUC-ROC: 0.8774, Train F1 Score: 0.8790 , Train Precision: 0.8990, Train Recall: 0.8599
